id	en
Item_000	未使用
Item_001	A key that unlocks the door to the Velvet Room.
Item_002	A fallen leaf from a young tree.
Item_003	A blood-red fountain pen.
Item_004	Proof of having defeated Elizabeth.
Item_005	A massively multiplayer PC game called Innocent Sin Online.
Item_006	An envelope from Mitsuru to be discretely given to Aragaki.
Item_007	An envelope from Aragaki. It seems he won't return to school.
Item_008	A key that opens the door to the gym.
Item_009	''At the end of a great trial, the answer illuminates my path.''
Item_00A	A strip of paper from Takaya, seemingly part of some research material.
Item_00B	A choker Tomochika made. Enables fusion of Futsunushi.
Item_00C	The headphones Fuuka made. Enables fusion of Scathach.
Item_00D	The key to Mitsuru's motorcycle. Enables fusion of Alilat.
Item_00E	Proof of Odagiri's trust. Enables fusion of Odin.
Item_00F	Fruit from Bunkichi's son's tree. Enables fusion of Kohryu.
Item_010	Yukari's treasured cell phone strap. Enables fusion of Cybele.
Item_011	A roll of sports tape from Miyamoto. Enables fusion of Thor.
Item_012	A manga by Chihiro's favorite artist. Enables fusion of Melchizedek.
Item_013	The message Maya left in the MMORPG. Enables fusion of Arahabaki.
Item_014	Notification of Hiraga's prize. Enables fusion of Lakshmi.
Item_015	A letter from the kids Yuko trained. Enables fusion of Atavaka.
Item_016	The ring Maiko made. Enables fusion of Attis.
Item_017	The pouch Bebe made. Enables fusion of Yurlungur.
Item_018	The letter President Tanaka received. Enables fusion of Beelzebub.
Item_019	Mutatsu's bottle tag. Enables fusion of Chi You.
Item_01A	A car key received from Hayase. Enables fusion of Helel.
Item_01B	A license received from Suemitsu. Enables fusion of Sandalphon.
Item_01C	A notebook containing Kamiki's story. Enables fusion of Asura.
Item_01D	A broken component from Aigis's body. Enables fusion of Metatron.
Item_01E	未使用
Item_01F	未使用
Item_020	未使用
Item_021	Enables fusion of the Hermit Persona, Mothman.
Item_022	Enables fusion of the Emperor Persona, King Frost.
Item_023	Enables fusion of the Fool Persona, Decarabia.
Item_024	Enables fusion of the Hermit Persona, Nebiros.
Item_025	Enables fusion of the Devil Persona, Lilith.
Item_026	Enables fusion of the Tower Persona, Masakado.
Item_027	Enables fusion of the Magician Persona, Hua Po.
Item_028	Enables fusion of the Hierophant Persona, Thoth.
Item_029	Enables fusion of the Judgement Persona, Lucifer.
Item_02A	Enables fusion of the Sun Persona, Houou.
Item_02B	未使用
Item_02C	Enables fusion of the Fool Persona, Orpheus Telos.
Item_02D	未使用
Item_02E	未使用
Item_02F	未使用
Item_030	未使用
Item_031	未使用
Item_032	未使用
Item_033	未使用
Item_034	未使用
Item_035	A classified document from ten years ago, found in Tartarus.
Item_036	A classified document from ten years ago, found in Tartarus.
Item_037	A classified document from ten years ago, found in Tartarus.
Item_038	A classified document from ten years ago, found in Tartarus.
Item_039	A classified document from ten years ago, found in Tartarus.
Item_03A	A classified document from ten years ago, found in Tartarus.
Item_03B	A classified document from ten years ago, found in Tartarus.
Item_03C	A classified document from ten years ago, found in Tartarus.
Item_03D	A research document found in Tartarus.
Item_03E	A memoir written by a researcher, found in Monad.
Item_03F	A memoir written by a researcher, found in Monad.
Item_040	A memoir written by a researcher, found in Monad.
Item_041	A memoir written by a researcher, found in Monad.
Item_042	A memoir written by a researcher, found in Monad.
Item_043	A memoir written by a researcher, found in Monad.
Item_044	Hand powder used in archery. Looks like roasted soybean powder.
Item_045	A slender sword with a triangular cross section that is hard to bend.
Item_046	Has traces of having wiped a variety of things other than glasses.
Item_047	A plant with red leaves. Sometimes called a ''Christmas star.''
Item_048	Has a game called Odin Cube inserted in it.
Item_049	It's quite used, but meticulously maintained.
Item_04A	A figure of a popular hero with 40 individually moveable joints.
Item_04B	Perfect for use by amateur athletes.
Item_04C	Expensive dog food. Can also be used to feed wolves and tigers.
Item_04D	Primarily used for firearms maintenance.
Item_04E	Filled with miniscule oden ingredients.
Item_04F	A discarded human anatomic model. It's eerily realistic.
Item_050	Non-alcoholic, but provides a small taste of being adult.
Item_051	A mahjong tile from the mahjong parlor. It has a drawing of a bird on it.
Item_052	Inari sushi received from an old woman.
Item_053	Replica of a Sengoku-era helm. It has the symbol for ''love'' on it.
Item_054	A CD recording of Gekkoukan Boogie. Comes with a lyrics card.
Item_055	A business card signed by the president of Tanaka's Amazing Commodities.
Item_056	An old 500-yen bill. Seems to still be useable.
Item_057	A seashell found in Yakushima. Emits the sounds of distant waves.
Item_058	Seaweed picked up in Yakushima. It smells intensely of the sea.
Item_059	Driftwood from Yakushima. Has a unique shape, due to erosion.
Item_05A	A crab found in Yakushima. Moves quickly in dark places.
Item_05B	A cloth used for treating injuries. There may be someone who needs this.
Item_05C	A Gekkoukan student handbook. Should be returned to its owner.
Item_05D	One touch and they can't resist! For those wishing to befriend cats.
Item_05E	A thank-you letter regarding the rescue of a missing person.
Item_05F	A Christmas present from a self-proclaimed Santa. Wrapped neatly.
Item_060	The Aohige Pharmacy owner's prized aojiru. Bitter yet sweet.
Item_061	未使用
Item_062	A baseball glove gifted from Junpei. Enables fusion of Surt.
Item_063	Proof of recognition by Sanada. Enables fusion of Horus.
Item_064	A collar attached with a protective charm. Enables fusion of Byakko.
Item_065	Amada's commemoratory key. Enables fusion of Michael.
Item_066	Proof Aragaki thought about his future. Enables fusion of Hell Biker.
Item_067	A music box that Ryoji left behind. Enables fusion of Saturnus.
Item_068	未使用
Item_069	未使用
Item_06A	未使用
Item_06B	未使用
Item_06C	未使用
Item_06D	未使用
Item_06E	The Fool card will appear during Shuffle Time.
Item_06F	The Magician card will appear during Shuffle Time.
Item_070	The High Priestess card will appear during Shuffle Time.
Item_071	The Empress card will appear during Shuffle Time.
Item_072	The Emperor card will appear during Shuffle Time.
Item_073	The Hierophant card will appear during Shuffle Time.
Item_074	The Lovers card will appear during Shuffle Time.
Item_075	The Chariot card will appear during Shuffle Time.
Item_076	The Justice card will appear during Shuffle Time.
Item_077	The Hermit card will appear during Shuffle Time.
Item_078	The Fortune card will appear during Shuffle Time.
Item_079	The Strength card will appear during Shuffle Time.
Item_07A	The Hanged Man card will appear during Shuffle Time.
Item_07B	未使用
Item_07C	未使用
Item_07D	未使用
Item_07E	未使用
Item_07F	未使用
Item_080	未使用
Item_081	未使用
Item_082	The Temperance card will appear during Shuffle Time.
Item_083	The Devil card will appear during Shuffle Time.
Item_084	The Tower card will appear during Shuffle Time.
Item_085	The Star card will appear during Shuffle Time.
Item_086	The Moon card will appear during Shuffle Time.
Item_087	The Sun card will appear during Shuffle Time.
Item_088	The Judgement card will appear during Shuffle Time.
Item_089	未使用
Item_08A	未使用
Item_08B	未使用
Item_08C	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_08D	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_08E	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_08F	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_090	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_091	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_092	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_093	The number of Major Arcana cards attainable in 1 day increases by 1.
Item_094	未使用
Item_095	未使用
Item_096	未使用
Item_097	未使用
Item_098	未使用
Item_099	未使用
Item_09A	未使用
Item_09B	未使用
Item_09C	未使用
Item_09D	未使用
Item_09E	未使用
Item_09F	未使用
Item_0A0	Brand-name, black-\nrimmed glasses that give off an air of intelligence.
Item_0A1	A headband with cat ears that can make anybody cute.
Item_0A2	Silly glasses with a fake nose attached that are sure to get a laugh.
Item_0A3	A pointed, red hat that feels like Christmas. For Santas in training.
Item_0A4	未使用
Item_0A5	未使用
Item_0A6	未使用
Item_0A7	未使用
Item_0A8	未使用
Item_0A9	未使用
Item_0AA	未使用
Item_0AB	未使用
Item_0AC	未使用
Item_0AD	未使用
Item_0AE	未使用
Item_0AF	未使用
Item_0B0	未使用
Item_0B1	未使用
Item_0B2	未使用
Item_0B3	未使用
Item_0B4	未使用
Item_0B5	未使用
Item_0B6	未使用
Item_0B7	未使用
Item_0B8	未使用
Item_0B9	未使用
Item_0BA	未使用
Item_0BB	未使用
Item_0BC	未使用
Item_0BD	未使用
Item_0BE	未使用
Item_0BF	未使用
Item_0C0	未使用
Item_0C1	未使用
Item_0C2	未使用
Item_0C3	未使用
Item_0C4	未使用
Item_0C5	未使用
Item_0C6	未使用
Item_0C7	未使用
Item_0C8	未使用
Item_0C9	未使用
Item_0CA	未使用
Item_0CB	未使用
Item_0CC	未使用
Item_0CD	未使用
Item_0CE	未使用
Item_0CF	未使用
Item_0D0	未使用
Item_0D1	未使用
Item_0D2	未使用
Item_0D3	未使用
Item_0D4	未使用
Item_0D5	未使用
Item_0D6	未使用
Item_0D7	未使用
Item_0D8	未使用
Item_0D9	未使用
Item_0DA	未使用
Item_0DB	未使用
Item_0DC	未使用
Item_0DD	未使用
Item_0DE	未使用
Item_0DF	未使用
Item_0E0	未使用
Item_0E1	未使用
Item_0E2	未使用
Item_0E3	未使用
Item_0E4	未使用
Item_0E5	未使用
Item_0E6	未使用
Item_0E7	未使用
Item_0E8	未使用
Item_0E9	未使用
Item_0EA	未使用
Item_0EB	未使用
Item_0EC	未使用
Item_0ED	未使用
Item_0EE	未使用
Item_0EF	未使用
Item_0F0	未使用
Item_0F1	未使用
Item_0F2	未使用
Item_0F3	未使用
Item_0F4	未使用
Item_0F5	未使用
Item_0F6	未使用
Item_0F7	未使用
Item_0F8	未使用
Item_0F9	未使用
Item_0FA	未使用
Item_0FB	未使用
Item_0FC	未使用
Item_0FD	未使用
Item_0FE	未使用
Item_0FF	未使用
